唉声叹气	哀声叹气
秤砣	秤沱
帷幕	帷暮
疮疤	疮巴
斗篷	斗蓬
伺候	侍候 伺侯
迟钝	迟顿
扑朔	仆朔
漕运	曹运
花蕊	花芯
呈报	呈抱
深邃	深遂
鞭挞	鞭踏 鞭鞑
名垂青史	名倕青史
辞藻	辞澡
忤逆	许逆
覆盖	复盖
砗磲	阵磲
楷书	揩书
陶瓷	淘瓷
遴选	鳞选
蟾宫	蟾工
昌蒲	昌浦
赌气	堵气
坟墓	坟莹
储藏	诸藏
来源	来原
幽僻	幽辟
愁怨	蝵怨
羸弱	赢弱
抱歉	报歉 抱欠
桑葚	桑甚
槽枥	槽砺
模型	模形
刻薄	刻簿
勾销	勾消
筹划	踌划
凌冽	凌烈
箪竹	单竹
疟疾	虐疾
宏达	宏大
菁英	青英
抵御	抵卸
含蓄	含畜
聆听	吟听
弘扬	宏扬
半晌	半响
多情种	多情中
洗涤	洗条
矜持	今持
孤独	狐独
多样化	多佯化
腐朽	腐巧
大喊大叫	大咸大叫
大汗淋漓	大汗淋离
糊涂	糊塗 湖涂
盼望	昐望
单枪匹马	单抢匹马
点缀	点啜
荒淫	荒婬
涤纶	条纶
栋梁	冻梁
惦记	掂记
恒心	桓心
亘古	恒古
罕见	悍见
惠存	慧存
恭候	恭侯
谱写	普写
堤岸	提岸
凝固	疑固
裹挟	裹夹
毒手	霉手
公共	公供
内忧外患	内尤外患
敦实	墩实
孤鹜	孤骛 孤鸟
捣腾	岛腾
沧桑	仓桑 苍桑
黄澄澄	黄橙橙
解剖	解咅
排斥	排斤
地表水	地裱水
驾驭	驾驶 驾奴 驾驱 驾驮 驾权
恬静	甜静
邂逅	解逅 邂后
低碳	底碳
抵牾	抵唔
污垢	污诟 污后
好逑	好求
奉命	俸命
蚍蜉	蚍浮
当然	当燃
焕然	换然
复辟	复壁 复僻
杜宇	杜与
下功夫	下工夫
剔除	踢除
东滚西爬	东滚西扒
睥睨	脾睨
顿悟	盹悟
眷属	劵属
蹲守	尊守
蜉蝣	蜉游
狡猾	狡滑
崩溃	蹦溃
稀疏	稀梳
叮嘱	叮属
胴体	洞体
顶天立地	顶夫立地
琐屑	锁屑
披靡	披糜
眷顾	劵顾
缆绳	揽绳
当世无双	单世无双
发酵	发教
甄选	侦选
断语	继语
何尝	何常
开垦	开恳
烹饪	烹任
忌讳	忌晦 记讳
单薄	单簿
晦涩	悔涩
断崖式	断崖试
和煦	和洵 和熙 和照
唤醒	换醒
得意	得澺
皓羽	灏羽
非难	菲难
锻造	段造
风雅	凤雅
眩目	炫目
为人所不齿	为人所不耻
看得上眼	看的上眼
中肯	中垦
泛滥	泛烂
谜底	迷底
观摩	观摹
申请	伸请
萧条	肖条
炫耀	旋耀 眩耀
悬崖	悬涯 悬垭
尤其	犹其
等候	等侯
孪生	挛生
塑造	朔造
洗澡	洗燥 洗躁
鼓励	鼓厉
历史	厉史
瑕疵	暇疵
肮脏	肮赃
炙热	灸热
金华火腿	金华火煺
租赁	租贷 租凭
共享	共亨
河涌	河俑
贯穿	惯穿
环境	坏境
开幕	开慕
围绕	围饶
欢快	欢块
纷纷	分分
弹奏	谈奏
作为	做为
利益	俐益
改正	该正
优点	尤点
枯萎	枯委
凉快	凉块
措施	错施
飘扬	飘杨
漫天	瞒天
防疫	防役
应聘	应娉
抢夺	枪夺
星辰	星宸
番禺	蕃禺
淳朴	淳扑 纯朴 醇朴
紊乱	絮乱 稳乱 纹乱
灰烬	灰尽 烣烬
剽悍	骠悍
籍贯	藉贯
海蜇	海蛰
年轻人	年青人
影碟机	影牒机
孕育	蕴育
装订	装钉
纰漏	批漏
娇嗔	娇瞋
举例子	举列子
队列	队例
谩骂	曼骂 漫骂
休息	修息
坚定	竖定
反射弧	反射狐
剽窃	骠取 骠窃
肇事	造事
狼藉	狼籍
慰藉	慰籍 尉藉
黯然	暗然
奔驰	奔弛
荟萃	荟翠
堆砌	堆彻
澎湃	彭拜
血型	血形
退行性	退形性
账务	帐务
一笔一画	一笔一划
张贴	张帖
补贴	补帖
汛期	讯期
迅速	讯速 汛速
消费券	消费卷
应届	应界
界限	届限
抒发	纾发
巾帼	巾幅
辩证	辨证
辨别	辩别
辩论	辫论 辨论
廿八	甘八
广袤	广茅 广矛 广褒
堰塞湖	偃塞湖
鳙鱼	镛鱼 庸鱼
咳嗽	咳数
鲫鱼	即鱼
磋商	嗟商 蹉商
篆刻	纂刻
绳索	绳锁
公布	公步
雄踞	雄居
抓现行	抓现形
锈迹	秀迹
临界点	零界点
关键词	关建词 关健词
白内障	百内障
里程碑	里程牌
周大福	周大幅
簕杜鹃	勒杜鹃
研习社	演习社
工商界	工商届
文艺界	文艺届
艺术界	艺术届
综合征	综合症
攻坚战	攻艰战
全天候	全天侯
侦察兵	侦查兵
过敏原	过敏源
里脊	里背
拨打	拔打
赴京	附京
老赖	老懒
楼梯	楼剃
斡旋	握旋
须臾	须余
厮守	斯守
缱绻	缱卷
颀长	奇长
地痞	地否
溺爱	腻爱
端倪	端泥
懵懂	瞢懂
联袂	连袂 联决
倥偬	倥惚
傀儡	傀类
市侩	市刽
铿锵	铿镪
溘然	磕然
调侃	调砍
诡谲	诡橘
孑然	子然
耿直	梗直
戕害	枪害
逞强	呈强
跌宕	跌荡
耷拉	茸拉 答拉
啜泣	辍泣 缀泣
苦涩	苦色
要挟	要胁
腼腆	腼典 湎腆
干瘪	干憋
奚落	溪落
匿名	溺名
蹂躏	揉躏
荼毒	茶毒
忸怩	扭怩
劫难	截难
嚣张	消张
侥幸	狡幸
休憩	休栖
诡计	鬼计
樊篱	蕃篱
奇葩	奇耙
豁达	阔达
佯装	徉装
颁奖	搬奖
懒惰	懒堕
倩影	茜影
甄别	甑别
荏苒	荏冉 任苒
禁锢	禁固
枯槁	枯稿
痼疾	固疾
干涸	干锢
犒劳	铐劳
赊欠	奢欠
喟叹	㥜叹
缜密	慎密
嗔怪	慎怪
遒劲	逑劲
弹劾	弹核
隔阂	隔阖
纨绔	执绔 纨侉
邋遢	瘌遢 邋塌
咫尺	只尺
沉疴	沉苛
徘徊	俳徊
边陲	边垂
推荐	推存
疮痍	疮夷
奸佞	奸吝
内疚	内柩
饯别	栈别
抽噎	抽咽
渣滓	渣宰
鏖战	鳌战
彪炳	彪丙
誊写	眷写 誉写
谗言	谄言 馋言 搀言
赞扬	簪扬
几率	机率
身材	身才
习惯	刁惯
花瓣	花辩 花辦
悲哀	悲衰
诞生	延生
希望	烯望
糟蹋	糟塌 遭蹋
捯饬	倒饬
甘霖	泔霖
拐杖	捌仗
不满	不瞒
境界	竟界
凝视	疑视
塞车	赛车
你们	您们
涟漪	连漪
一瞬间	一舜间
蛀蚀	蛀食
会晤	会悟
熔炉	融炉
疯癫	疯颠
菜篮子	菜蓝子
掉头	调头
泼洒	泼撒
凸显	突显
累计	累积
激励	激厉
扑救	仆救
智慧	智惠
嬉戏	嘻戏
诡辩	鬼辩 诡辨
绝对	决对
身份证	身份政
亲和力	亲合力
竹竿	竹芋 竹杆
桂冠	贵冠
赌博	睹博 赌搏
副作用	付作用
综合症	中和症
谜团	迷团
果腹	裹腹
和谐	合谐 和偕
候车	侯车
磕巴	嗑巴
账簿	账薄
孤零零	孤伶伶
纪录片	记录片
检察院	检查院
屏气	摒气
粲然	灿然
岔路	叉路
穿戴	穿带
扳机	板机
厨房	橱房
砥砺	诋砺 砥励
怀揣	怀惴
谛听	啼听
迸发	并发
布置	部置
沧海	仓海
婵娟	蝉娟
掂量	惦量
怅然	伥然
仓猝	仓卒
摧毁	催毁
陡坡	陡徒 徒坡
胡话	糊话
垮台	跨台
寂寥	寂廖
慑服	摄服
鬼祟	鬼崇
惋惜	碗惜 婉惜
打鱼	咑鱼 打渔
欢度	欢渡
悱恻	绯恻
俯瞰	俯看
涣散	焕散
调剂	调济
粗粝	粗砺
菱形	棱形
粉末	粉沫
接洽	接恰
教唆	教梭
枉费	妄费
操作	操做
锻炼	段炼 缎炼
费力	废力
惊骇	惊赅
含混	含浑
既然	即然
黄连	黄莲
作揖	做揖
安分	安份
钓竿	钓杆
蒿子	篙子
惶惑	徨惑
狙击	狙击 沮击
高亢	高炕 高吭
盲目	肓目
暮色	幕色
困扰	困挠
闪烁	闪铄
搪塞	塘塞
游弋	游戈
具备	俱备
恪守	客守 格守
护栏	护拦
俘虏	俘掳 孚虏
报效	报孝
蜂拥	蜂踊
纷纭	纷云
活泛	活乏
姑息	估息
诚恳	诚垦 诚肯
熟练	熟炼
偌大	诺大
晌午	响午
提纲	题纲
发泄	发泻
昏庸	昏慵
贪赃	贪脏
俸禄	奉禄
晾干	凉干
糨糊	浆糊
蜕变	脱变
拆卸	拆御
急躁	急燥
恳求	肯求
是非	事非
雀跃	鹊跃
不屑	不宵
涌现	勇现 俑现 拥现
由衷	由哀
欣慰	心慰
怡情	贻情
遐想	暇想
大致	大至
狩猎	守猎
泯灭	抿灭
蓑衣	梭衣 衰衣
起码	起玛
侮辱	梅辱
湖畔	胡畔
报偿	抱偿
猖獗	昌獗
规矩	规距
港口	巷口
缥缈	缥渺
飘摇	飘遥
瞻仰	瞻养
惊愕	惊谔
时候	时侯
威胁	威协
协助	胁助
琐碎	锁碎
宵夜	霄夜
放肆	放肄
愚昧	愚味
羽翼	羽冀
胁迫	协迫 肋迫
栖息	牺息
厢型车	箱型车
延长	廷长
派遣	派谴
谴责	遣责
山坳	山拗
贪婪	贪焚
逍遥	消遥
熏陶	熏淘
烟囱	烟卤
赡养	瞻养
庄严	壮严
臆测	意测
札记	扎记
自持	自侍
从容	怂容
梳妆	梳装
元气	原气
跋涉	拔涉
逻辑	罗辑
布帛	布箔
敬佩	敬配
焕发	涣发
干预	干予
揣测	惴测
坦诚	坦城
按捺	安捺
包涵	包函
弊病	蔽病
编篡	偏篡
辨认	辩认
蹩进	憋进
博取	搏取
仓皇	怆皇
参与	参予
苍茫	沧茫
板脸	扳脸
褒贬	褒砭
辈分	辈份
泊位	舶位
残骸	残骇
偿还	尝还
撑杆	称杆
惆怅	惆帐 绸怅 稠怅
抵消	抵销
钓鱼	钩鱼
喋血	蝶血
杜绝	堵绝
繁琐	繁锁 烦锁
缀学	坠学
蹉跎	蹉驼 搓拓 搓跎 踌跎
怠惰	怠堕
颠倒	巅倒
临摹	临莫 林摹
纹身	文身
处身	处艮
苍生	苍升
称赞	秤赞
澄澈	橙澈
锄头	助头
传奇	穿奇
擦拭	擦式
蚩尤	赤尤
成功	成攻
诚实	成实
慈爱	慈噯
倘佯	倘样
促狭	促夹
充分	充纷
成熟	成孰
笞刑	笞刊
裁员	裁圆
次要	茨要
纯熟	莼熟
粲粲	梷梷
昌盛	菖盛
畜生	搐生
藏拙	藏出
脆弱	脆溺
刺身	朿身
池塘	池唐
出轨	处轨
出殡	出傧
淳淳	谆谆
粗鄙	粗俾
晨露	晨潞
船坞	船乌
嗤笑	蚩笑
崇尚	嵩尚
创新	怆新
篡改	纂改 篆改
尘嚣	尘器
痴迷	痴谜
粗鲁	粗橹
茶寮	茶燎
锤炼	锤练
矗立	矗位
出糗	出嗅
出道	出到
涔涔	岑岑
侧面	则面
孱弱	潺弱
嵯峨	槎峨
醇香	淳香
萃取	粹取
差役	差殁
弛缓	弛援
长啸	长萧
出炉	出妒
撮鸟	最鸟
陈情表	程情表
吃瘪	吃憋
祠禄	词禄
苍蝇	苍绳
齿胄	齿胃
乘月	乖月
衬托	衬乇
推测	蓷测
尘缘	尘橼
雏菊	刍菊
绸缪	绸谬
床笫	床第
吹捧	吹棒
酬酢	酬祚
抽泣	抽立
产业链	产业连
蝉衣	蝉伊
谄媚	陷媚 谄眉
春妍	春研
窗扉	窗霏
彩虹	彩红
猜忌	猜己
簇簇	族族
绰约	焯约
烦琐	烦锁
糟糕	遭糕
遭遇	糟遇
臆想	意想
亢奋	吭奋
键盘	健盘
贸易	冒易
丑陋	丑漏
芯片	蕊片
距离	矩离
领袖	领柚
潋滟	潋艳
琉璃	琉离
沥青	历青
蝼蚁	娄蚁
笼罩	拢罩
篱笆	篱芭 蓠笆
落魄	落魂
吝啬	吝墙
镰刀	廉刀
累赘	累坠
铭刻	名刻
密封	秘封
墨绿	默绿
谬论	缪论
马厩	马既
私塾	私孰
绥靖	妥靖
洒脱	酒脱
隧道	遂道
收敛	收俭
执拗	执幼
纳谏	纳柬
回馈	回遗 回贵
忽略	勿略
辉煌	辉隍
颔首	颌首
永恒	永垣
逶迤	逶移
蜿蜒	蜿延
婉转	蜿转
雾霾	雾埋
顽劣	玩劣
玩具	顽具
瘟疫	瘟役 温役 温疫
晚霞	晚暇
无耻	无址
婉约	宛约
微笑	徽笑
要塞	要赛
营销	营消
羡慕	羡幕
娴熟	闲熟
骁勇	枭勇
战栗	战粟
阻挠	阻桡
滋润	滋闰
锱铢	锱珠
造诣	造旨 造指
作祟	作崇
挚爱	掣爱
折戟	折乾
乾坤	戟坤
辎重	锱重 淄重
蒸馏	蒸留
板栗	板粟
圆寂	园寂
翡翠	翡粹
青衫	青杉
软肋	软协
壤土	土囊
蓬蒿	蓬高
匍匐	圃匐
朴素	仆素
彷徨	旁徨
滂沱	滂它
叵测	回测
偏颇	偏破
磅礴	磅薄 旁薄
培养	赔养 焙养 倍养
赔付	陪付
膀胱	徬胱
拔河	拨河
脾气	啤气
婀娜	婀那 啊娜
提拔	提拨
逃窜	逃串
练习簿	练习薄
吊销	吊消
豆腐	豆付
惰性	隋性
繁缛	繁溽
歼灭	千灭
怪诞	怪涎
关键	关健
光芒	光茫
瑰丽	鬼丽
捍卫	焊卫
浩瀚	浩翰
淮河	准河
嘉宾	佳宾
拂晓	佛晓
生效	生校
歌舞	歌午
鼓噪	鼓燥
冠冕	冠免
鬼蜮	鬼域
海绵	海棉
简陋	简漏
贸然	冒然
拇指	母指
苦恼	苦脑
脉络	脉胳
骚动	搔动
唏嘘	稀嘘
揶揄	掖揄
徜徉	徜佯
恣睢	姿睢
睿智	锐智
多元化	多元画
妒忌	炉忌
堕入	惰入
东瀛	东赢
等比数列	等比数例
道德	道聴
丁香结	丁香洁
得过且过	的过且过
怠慢	怠漫 殆慢 待慢
嘟嘟囔囔	都都囔囔
端庄	瑞庄
鼎力	鼑力
迭代	跌代
地动仪	地动义
弟媳	弟息
奠基	尊基
大锣	大罗
惰性气体	隋性气体
独舞	独儛
叮咛	叮宁
等闲	等咸
地球村	地求村
敦敏	墩敏
端端正正	端端佂佂
打量	打亮
抖擞	斗擞
耽误	眈误
大幅度	大副度
阔绰	阔踔 阔琸 阔桌 阔悼
杜门自守	社门自守
节省	栉省
胆大妄为	胆大忘为
大伙儿	大火儿
倒计时	到计时
动词	动祠
担当	掸当
颠簸	颠钹
陡峭	徙峭
胆战心惊	胆站心惊
大师	大帅
大规模	大规膜
惦念	掂念
迭起	迭齐
叨叨	刀刀
多功能	多工能
瞪瞪	登登
悼念	悼惗
缔结	帝结
蹀躞	蝶躞
地狱	哋狱
多彩	多采
荡漾	荡様
雕琢	雕诼 雕逐
督促	督处
点映	点央
地道	地到
督察	督嚓
顶呱呱	顶瓜瓜
带来	戴来
渎职	读职
杜衡	渡衡 杜蘅
佃农	田农 钿农
鼎盛	顶盛 鼎晟
铣刀	洗刀
镀金	度金
笃行	茑行
奠定	莫定
饾饤	豆丁
孕妇	任妇
敦促	墩促
玷污	坫污 沾污
殆尽	台尽
断肠	断常
镀锌板	镀辛板
踱步	镀步 度步
党徽	党微
凋谢	调谢
豆荚	豆夹
淡薄	淡簿 淡礴
滇池	慎池
鞑靼	鞑但
担心	但心
但是	旦是
祷告	祷诰
嚼碎	爵碎
打烊	打羊
吊唁	吊言
巅峰	颠峰 巅锋
兑付	兑负
带领	戴领
电阻	电狙
刁难	习难
点卯	点卵
笃信	茑信 独信
砥柱	抵柱
斗志	抖志
地窖	地滘
晴天	睛天
渡江	度江
搭档	搭挡
定夺	订夺
丹凤眼	丹风眼
底蕴	底蕰
风筝	风争
返乡	反乡
放纵	放从
会见	汇见
分外	份外
菲薄	绯薄
沸腾	佛腾 沸滕 拂腾
服从	服丛
附议	附仪
贩卖	饭卖
伏法	服法
俯首	俯守
富饶	富绕
废黜	废絀
愤慨	愤概
繁殖	繁植
烦恼	烦脑
房檐	房詹
枫叶	风叶
氛围	纷围 汾围
福利	福力
阀门	伐门
付与	付于
富裕	富峪
附件	付件
驸马	附马
缝隙	逢隙
冗余	冗于
福荫	福阴
讣告	仆告
服帖	服贴
贡献	供献
穿插	串插
默契	默挈
文牍	文渎
掠夺	略夺
赏罚	常罚
简练	蔺练 简炼
篡夺	纂夺
武装	武裝
演绎	演译
融会	融汇
荤腥	晕腥
强悍	强焊
皎洁	佼洁
手腕	手宛
整饬	整伤
证券	证卷
亟待	急待
狂妄	狂忘
伶俐	玲俐
连襟	联襟
云霄	云宵
拖沓	拖踏
隔膜	膈膜
良莠	良秀
告罄	告馨
袒护	坦护
胁从	协从
卫戍	卫戌
昭雪	招雪
沦落	伦落
沮丧	诅丧
魅力	魁力
檄文	激文
鹤唳	鹤戾
蜕化	脱化
荒谬	谎谬
撒谎	撒慌
谙熟	暗熟
共勉	共免
膈应	隔应
恭听	恭昕
根植	根值
聒噪	聒燥 呱噪 剐噪
辜负	辜付
躬行	射行
媾和	姌和
刽子手	脍子手 会子手
国祚	国作
勾当	沟当
歌咏	歌泳
贵庚	贵赓
过磅	过镑
柑橘	甘橘
砧板	沾板
沟壑	沟涸
工匠	功匠
归拢	归龙
功效	攻效
贵宾	贵兵
静谧	静宓 静密
阶乘	介乘
介意	阶意
荆棘	荆刺
拮据	拮剧
可汗	可汉
卓越	桌越
细菌	细箘
潇湘	潇相
悬殊	悬珠
锡箔	易箔
信誉	信誊
玄机	炫机
荣膺	荣鹰
箬笠	若笠
教授	教受
觊觎	觊愉
疾驰	疾弛
竞标	竟标
恐怖	恐布
理睬	理彩
琳琅	林琅
雷霆	雷廷
轮廓	轮郭
磨练	摩练
募集	暮集
魅惑	魅或
蜜饯	蜜贱
媲美	毗美 辟美
屏障	屏帐
拍摄	拍慑
陪衬	陪村
抛锚	抛猫
碰壁	碰璧
澄清	澄青
轻盈	轻楹
谦逊	谦孙
倾覆	倾复
泅渡	囚渡
蠕动	儒动
呼啸	胡啸
泓浵	弘彤
好歹	好殆
花苞	花包
红莲	红连
蛤蟆	哈蟆
翰林	瀚林
厚道	候道
华罗庚	华罗更
行当	行档
后盾	后遁
核发	核發
寒门	韩门
恍然	晃然
厚德	厚得
阖家	合家
麾下	摩下
窈窕	苗窕
湖泊	湖珀
红烛	红蚀
贿赂	贿路 汇赂
恢弘	恢宏
混沌	浑沌 混顿
惶恐	湟恐
慧然	惠然
怀瑾	怀谨
轰隆隆	轰窿窿
薨逝	薨势
夙愿	素愿
赇灾	振灾
讹诈	恶诈
别墅	别树
窒息	桎息
赦免	赫免
阴霾	阴狸
羞赧	羞婪
惬意	箧意
馈赠	溃赠
缄默	减默
污秽	污晦
吞噬	吞筮
覆没	复没
攸关	优关
精湛	精堪
委靡	委糜
痊愈	全愈
贫瘠	贫脊
暮霭	暮蔼
严厉	严历
清晰	清淅
就绪	就序
耽搁	担搁
番茄	蕃茄
猕猴	弥猴
洗漱	洗嗽
嗓门	噪门
拨冗	拔冗
剐蹭	刮蹭
未遂	末遂
强奸	强奷
铆足	卯足
揭秘	揭密
冬菇	冬姑
香菇	香姑
草菇	草姑
纂缉	篡缉
纂编	篡编
纂修	篡修
篡位	纂位
欠账	欠帐
珍馐	珍羞
答卷	答券
开辟	开僻
短板	短版
业界	业届
纽扣	钮扣
纠纷	纠份
核拨	核拔
先驱	先躯
贴近	贴进
1亩	1苗
打拼	打拚
玍古	嘎咕
瘆人	渗人
熏肉	薰肉
炖菜	炖莱
同胞	同袍 同孢
蓓蕾	培蕾
投奔	头奔
包庇	包痹
麻痹	麻庇
摒弃	屏弃
菠菜	波菜
粗糙	粗造
嘈杂	炒杂
刹那	杀那
赔偿	陪偿
奢侈	奢耻
踌躇	蹉躇
拙见	绌见
忌惮	忌掸
档案	挡案
追悼	追绰
提防	堤防
缔造	蒂造
兑换	兌换
阿谀	阿腴
扼要	伌要
沸点	渄点
仿佛	纺佛
果脯	果甫
供销	供消
口供	口共
粗暴	粗爆
皈依	归依
负荷	负何
混淆	混肴
汽水	气水
留恋	流恋
需要	须要
很是	很实
刻不容缓	刻不容援
横七竖八	横七树八
迥乎不同	炯乎不同
山肴野蔌	山肴野簌
泛滥成灾	泛烂成灾
抱打不平	报打不平
毫不介意	豪不介意
鄙夷不屑	鄙夷不肖
穷形尽相	穷形尽像
垂青	倕青
一败涂地	一败途地
滕州	腾州 藤州
腾飞	藤飞 滕飞
树藤	树腾 树滕
抑郁	柳郁 仰郁
仰首	柳首 抑首
杨柳	杨仰 杨抑
干燥	干澡 干躁
拂袖	佛袖 沸袖
佛门	拂门 沸门
嘶哑	斯哑 撕哑
撕毁	嘶毁 斯毁
如斯	如撕 如嘶
湍急	揣急 瑞急
祥瑞	祥揣 祥湍
照样	煦样 熙样
康熙	康照 康煦
酒酿	酒狼 酒浪
波浪	波狼 波酿
饿狼	饿浪 饿酿
熟悉	孰悉
不熟	不孰
孰不可忍	熟不可忍
驮马	驭马 驱马
驱动	驮动 驭动
勇敢	涌敢 俑敢
兵马俑	兵马勇 兵马涌
坑蒙拐骗	吭蒙拐骗 炕蒙拐骗
吭声	坑声 炕声
火炕	火吭 火坑
拟定	似定 以定
似乎	拟乎 以乎
以为	似为 拟为
嫂嫂	馊馊 嗖嗖
馊主意	嫂主意 嗖主意
嗖一声	嫂一声 馊一声
棚子	崩子 蹦子
蹦跳	棚跳 崩跳
崩塌	蹦塌 棚塌
撩人	缭人 暸人
了望	了望
缭绕	暸绕 撩绕
嘹亮	潦亮 僚亮
官僚	官潦 官嘹
潦倒	僚倒 嘹倒
烙印	路印 洛印
洛阳	路阳 烙阳
路过	烙过 洛过
掩盖	淹盖 俺盖
俺们	掩们 淹们
纺织	仿织 访织
效仿	效纺 效访
访问	纺问 仿问
鸟喙	鸟缘 鸟篆
篆书	喙书 缘书
框子	眶子 筐子
箩筐	箩框 箩眶
眼眶	眼筐 眼框
潮汛	潮迅 潮讯
简讯	简迅 简汛
烘焙	烘培 烘倍
倍数	培数 焙数
缎子	段子 锻子
段落	缎落 锻落
指示	绢示
手绢	手指
一幢	一憧
炽热	织热
织布	炽布
帖子	贴子
舔舐	添舐
添乱	舔乱
波澜	波斓 波澜
眷恋	卷恋
试卷	试券 试眷
棉袄	棉沃
肥沃	肥袄
山峦	山恋
恋人	峦人
讯息	汛息
票券	票卷
行驶	行驭
请帖	请贴
拖拉	施拉
施肥	拖肥
鱼钩	鱼钓
腐化堕落	腐化坠落
陨石坠落	陨石堕落
暗度陈仓	暗渡陈仓
花样迭出	花样叠出
蜚短流长	斐短流长
冬夏常青	冬夏长青
倍道而行	背道而行
白云苍狗	白云沧狗
作壁上观	作璧上观
薪火相承	薪火相成
马到成功	马到程功
能源匮缺	能源篑缺
触景生情	触境生情
大江截流	大江节流
娇生惯养	矫生惯养
李代桃僵	李代桃缰
名缰利锁	名僵利锁
明枪暗箭	明枪暗剑
亟待解决	急待解决
急需处理	亟需处理
拾人牙慧	拾人牙惠
平等互惠	平等互慧
马革裹尸	马革果尸
合家欢乐	和家欢乐
引吭高歌	引亢高歌
粉身碎骨	粉身碎股
事必躬亲	事必恭亲
山重水复	山重水覆
胜券在握	胜券在握 胜卷在握
开卷有益	开券有益 开卷有益
能屈能伸	能曲能伸
青山绿水	清山绿水
凭恃天险	平恃天险
偷梁换柱	偷粱换柱
妙语连珠	妙语联珠
沧海一粟	沧海一栗
三足鼎立	三足鼎力
身体力行	身体厉行
入情入理	入情入里
烂尾工程	滥尾工程
形迹可疑	行迹可疑
行迹无定	形迹无定
发人深省	发人深醒
如梦初醒	如梦初省
华丽炫目	华丽眩目
闻过则喜	文过则喜
烟消云散	烟销云散
波浪滔天	波浪涛天
老马识途	老马识图
大事渲染	大肆渲染
大肆挥霍	大事挥霍
誓死不渝	势死不渝
势在必行	誓在必行
以身试法	以身拭法
拭目以待	试目以待
额手相庆	额首相庆
疾首蹙额	疾手蹙额
临渊羡鱼	临渊羡渔
拈轻怕重	沾轻怕重
头昏脑涨	头昏脑胀
神情忧郁	神情优郁
桃园结义	桃源结义
立意新颖	立异新颖
唇齿相依	唇齿相倚
遗臭万年	贻臭万年
相映成趣	相印成趣
风起云涌	风起云拥
